"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";"Device Library";"Device Library URN";
"R1";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"";"";"";"RES-12083";"";"";"5.1k";"SparkFun-Resistors";"";
"R2";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"";"";"";"RES-12083";"";"";"5.1k";"SparkFun-Resistors";"";
"R3";"100";"100OHM-0603-1/10W-1%";"";"100Ω resistor";"";"RES-07863";"";"";"100";"SparkFun-Resistors";"";
"R4";"100";"100OHM-0603-1/10W-1%";"";"100Ω resistor";"";"RES-07863";"";"";"100";"SparkFun-Resistors";"";
"R5";"100k";"100KOHM-0603-1/10W-1%";"";"100kΩ resistor";"";"RES-07828";"";"";"100k";"SparkFun-Resistors";"";
"R6";"100k";"100KOHM-0603-1/10W-1%";"";"100kΩ resistor";"";"RES-07828";"";"";"100k";"SparkFun-Resistors";"";
"R21";"100k";"100KOHM-0603-1/10W-1%";"";"100kΩ resistor";"";"RES-07828";"";"";"100k";"SparkFun-Resistors";"";
"R22";"1M";"1MOHM-0603-1/4W-5%";"";"1MΩ resistor";"";"RES-07868";"";"";"1M";"SparkFun-Resistors";"";
"R23";"100k";"100KOHM-0603-1/10W-1%";"";"100kΩ resistor";"";"RES-07828";"";"";"100k";"SparkFun-Resistors";"";
"R24";"1M";"1MOHM-0603-1/4W-5%";"";"1MΩ resistor";"";"RES-07868";"";"";"1M";"SparkFun-Resistors";"";
"RXI";"JUMPER-COMBO_2_NC_TRACE";"JUMPER-COMBO_2_NC_TRACE";"";"";"";"";"";"";"";"SparkFun-Jumpers";"";
"RX_LED";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"";"Normally closed trace jumper";"";"";"";"";"";"SparkFun-Jumpers";"";
"SUPPLY1";"V_USB";"V_USB";"";"USB Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY2";"V_USB_2";"V_USB_2";"";"USB Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY4";"V_USB_2";"V_USB_2";"";"USB Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY5";"VIN";"VIN";"";"Input Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY7";"VIN";"VIN";"";"Input Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY8";"V_USB";"V_USB";"";"USB Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY9";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY10";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY11";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY12";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY14";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY15";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY16";"VIN";"VIN";"";"Input Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY17";"3.3V";"3.3V";"";"3.3V Supply Symbol";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY18";"3.3V";"3.3V";"";"3.3V Supply Symbol";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY19";"3.3V";"3.3V";"";"3.3V Supply Symbol";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY20";"V_USB_2";"V_USB_2";"";"USB Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY21";"V_USB_2";"V_USB_2";"";"USB Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY27";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY29";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"SUPPLY31";"VCC";"VCC";"";"VCC Voltage Supply";"";"";"";"";"";"SparkFun-PowerSymbols";"";
"TXO";"JUMPER-COMBO_2_NC_TRACE";"JUMPER-COMBO_2_NC_TRACE";"";"";"";"";"";"";"";"SparkFun-Jumpers";"";
"TX_LED";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"";"Normally closed trace jumper";"";"";"";"";"";"SparkFun-Jumpers";"";
"U$1";"SPARKX-LOGO5";"SPARKX-LOGO5";"";"";"";"";"";"";"";"SparkX";"";
"U$2";"SPARKX-LOGO5";"SPARKX-LOGO5";"";"";"";"";"";"";"";"SparkX";"";
"U1";"CH340E_MSOP10";"CH340E_MSOP10";"";"";"";"IC-14135";"";"";"";"SparkFun-IC-Comms";"";
"U2";"SWARM_M138_TRANSCEIVER_MAIN";"SWARM_M138_TRANSCEIVER_MAIN";"";"Swarm M138 Modem";"";"CONN-16558";"";"";"";"SparkFun-RF";"";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";"SparkFun-IC-Power";"";
"VCC";"TEST-POINT3X5";"TEST-POINT3X5";"";"SparkFun Test Points";"";"";"";"";"";"SparkFun-Connectors";"";
"VHF";"U.FL";"U.FL2PIN";"";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";"SparkFun-Connectors";"";
